CURRENTDUE,SORTNAME,PROJECTTYPE,BUDGETEDEMPLOYEE,ROLE,DATERECEIVED,STATUS,GROUPS,DETAILBUDGETHOURS,CLTNUM,INCHARGE,PRIMARYPARTNER,DESCRIPTION,PREPARERPOOL,ENGDESC,SKILLLEVEL
4/15/2024,Gerhold - Turcotte,Trust Income Tax,"Hubbard, Braden",Reviewer,3/25/2024,"In, Assigned",Gilley,0.5,52296,"Gardner, Asa","Gardner, Asa",,Staff Pool,Tax,Partner
4/15/2024,Prosacco LLC,Trust Income Tax,"Dennis, Nicholas",Reviewer,3/25/2024,"In, Assigned",Gilley,4,52297,"Gardner, Asa","Gardner, Asa",,Staff Pool,Tax,No Selection
4/15/2024,Prosacco LLC,Trust Income Tax,"Schwartz, Amari",Preparer,3/25/2024,"In, Assigned",Gilley,5,52297,"Gardner, Asa","Gardner, Asa",,Staff Pool,Tax,Associate
4/15/2024,Prosacco LLC,Trust Income Tax,"Gardner, Asa",Reviewer,3/25/2024,"In, Assigned",Gilley,4,52297,"Gardner, Asa","Gardner, Asa",,Staff Pool,Tax,Supervisor
4/15/2024,Prosacco LLC,Trust Income Tax,"Hubbard, Braden",Reviewer,3/25/2024,"In, Assigned",Gilley,0.5,52297,"Gardner, Asa","Gardner, Asa",,Staff Pool,Tax,Partner
4/15/2024,"Deckow, Weimann and Marks",Trust Income Tax,"Cummings, Sara",Reviewer,3/25/2024,"In, Assigned",Greenberg,1,52394,"Cummings, Sara","Cummings, Sara",,Staff Pool,Tax,Partner
4/15/2024,"Deckow, Weimann and Marks",Trust Income Tax,"Newman, Owen",Preparer,3/25/2024,"In, Assigned",Greenberg,3,52394,"Cummings, Sara","Cummings, Sara",,Staff Pool,Tax,Intern
4/15/2024,"Stehr, Boyer and Leannon",Individual Income Tax,"Gutierrez, Joyce",Preparer,3/25/2024,Completed / NA,Holley,1,53023,"Duran, Angel","Howe, Jerry",Nicolas Rivera,Intern Pool,Tax,Associate
4/15/2024,"Stehr, Boyer and Leannon",Individual Income Tax,"Howe, Jerry",Reviewer,3/25/2024,Completed / NA,Holley,1,53023,"Duran, Angel","Howe, Jerry",Nicolas Rivera,Intern Pool,Tax,Manager
4/15/2024,"Stehr, Boyer and Leannon",Individual Income Tax,"Duran, Angel",Reviewer,3/25/2024,Completed / NA,Holley,0.5,53023,"Duran, Angel","Howe, Jerry",Nicolas Rivera,Intern Pool,Tax,Partner
5/15/2024,Hamill and Sons,Trust Income Tax,"Pacheco, Louisa",Preparer,3/25/2024,"In, Assigned",Whitesell,8,53161,"Hubbard, Braden","Hubbard, Braden",1/31 FYE,Staff Pool,Tax,Associate
5/15/2024,Hamill and Sons,Trust Income Tax,"Gardner, Asa",Reviewer,3/25/2024,"In, Assigned",Whitesell,4,53161,"Hubbard, Braden","Hubbard, Braden",1/31 FYE,Staff Pool,Tax,Partner
5/15/2024,Hamill and Sons,Trust Income Tax,"Hubbard, Braden",Reviewer,3/25/2024,"In, Assigned",Whitesell,2,53161,"Hubbard, Braden","Hubbard, Braden",1/31 FYE,Staff Pool,Tax,Partner
5/15/2024,Hamill and Sons,Trust Income Tax,"Thornton, Madilynn",Reviewer,3/25/2024,"In, Assigned",Whitesell,5,53161,"Hubbard, Braden","Hubbard, Braden",1/31 FYE,Staff Pool,Tax,Manager
4/15/2024,"Gaylord, Altenwerth and Rice",Trust Income Tax,"Dennis, Nicholas",Reviewer,3/25/2024,"In, Assigned",Gilley,4,53402,"Gardner, Asa","Gardner, Asa",,Staff Pool,,No Selection
4/15/2024,"Gaylord, Altenwerth and Rice",Trust Income Tax,"Schwartz, Amari",Preparer,3/25/2024,"In, Assigned",Gilley,6,53402,"Gardner, Asa","Gardner, Asa",,Staff Pool,,Associate
4/15/2024,"Gaylord, Altenwerth and Rice",Trust Income Tax,"Gardner, Asa",Reviewer,3/25/2024,"In, Assigned",Gilley,4,53402,"Gardner, Asa","Gardner, Asa",,Staff Pool,,Partner
4/15/2024,"Gaylord, Altenwerth and Rice",Trust Income Tax,"Hubbard, Braden",Reviewer,3/25/2024,"In, Assigned",Gilley,1,53402,"Gardner, Asa","Gardner, Asa",,Staff Pool,,Partner
4/15/2024,"Mohr, Ernser and O'Hara",Trust Income Tax,"Morrow, Esperanza",Reviewer,3/25/2024,Prep Complete,Silcox,3,53424,"Gardner, Asa","Gardner, Asa",,No Selection,,Manager
4/15/2024,"Mohr, Ernser and O'Hara",Trust Income Tax,"Montoya, Eloise",Preparer,3/25/2024,Prep Complete,Silcox,6,53424,"Gardner, Asa","Gardner, Asa",,No Selection,,Intern
4/15/2024,"Mohr, Ernser and O'Hara",Trust Income Tax,"Gardner, Asa",Reviewer,3/25/2024,Prep Complete,Silcox,2,53424,"Gardner, Asa","Gardner, Asa",,No Selection,,Partner
4/15/2024,"Lakin, Carter and Marquardt",Trust Income Tax,"Morrow, Esperanza",Reviewer,3/25/2024,Prep Complete,Silcox,3,53425,"Gardner, Asa","Gardner, Asa",,No Selection,,Manager
4/15/2024,"Lakin, Carter and Marquardt",Trust Income Tax,"Montoya, Eloise",Preparer,3/25/2024,Prep Complete,Silcox,6,53425,"Gardner, Asa","Gardner, Asa",,No Selection,,Intern
4/15/2024,"Lakin, Carter and Marquardt",Trust Income Tax,"Gardner, Asa",Reviewer,3/25/2024,Prep Complete,Silcox,2,53425,"Gardner, Asa","Gardner, Asa",,No Selection,,Partner
4/15/2024,Kihn - Bradtke,Trust Income Tax,"Morrow, Esperanza",Reviewer,3/25/2024,Prep Complete,Silcox,3,53426,"Gardner, Asa","Gardner, Asa",,No Selection,,Manager
4/15/2024,Kihn - Bradtke,Trust Income Tax,"Montoya, Eloise",Preparer,3/25/2024,Prep Complete,Silcox,6,53426,"Gardner, Asa","Gardner, Asa",,No Selection,,Intern
4/15/2024,Kihn - Bradtke,Trust Income Tax,"Gardner, Asa",Reviewer,3/25/2024,Prep Complete,Silcox,2,53426,"Gardner, Asa","Gardner, Asa",,No Selection,,Partner
4/15/2024,"Harvey, Hodkiewicz and Witting",Partnership Income Tax,"Moran, London",Preparer,3/25/2024,"In, Assigned",Newell,1,53613,"Gardner, Asa","Gardner, Asa",SMLLC,Intern Pool,,Intern
4/15/2024,"Harvey, Hodkiewicz and Witting",Partnership Income Tax,"Olsen, Murphy",Reviewer,3/25/2024,"In, Assigned",Newell,1,53613,"Gardner, Asa","Gardner, Asa",SMLLC,Intern Pool,,Supervisor
4/15/2024,"Harvey, Hodkiewicz and Witting",Partnership Income Tax,"Love, Harrison",Reviewer,3/25/2024,"In, Assigned",Newell,1,53613,"Gardner, Asa","Gardner, Asa",SMLLC,Intern Pool,,Partner
4/15/2024,"Harvey, Hodkiewicz and Witting",Partnership Income Tax,"Gardner, Asa",Reviewer,3/25/2024,"In, Assigned",Newell,1,53613,"Gardner, Asa","Gardner, Asa",SMLLC,Intern Pool,,Partner
4/15/2024,"Cole, Feest and Turner",Individual Income Tax,"Rush, Luca",Preparer,3/22/2024,"In, Assigned",Broadnax,6,987,"Brady, Ares","Duran, Angel",,Intern Pool,Tax,Intern
4/15/2024,"Cole, Feest and Turner",Individual Income Tax,"Love, Harrison",Reviewer,3/22/2024,"In, Assigned",Broadnax,6,987,"Brady, Ares","Duran, Angel",,Intern Pool,Tax,Partner
4/15/2024,"Cole, Feest and Turner",Individual Income Tax,"Brady, Ares",Reviewer,3/22/2024,"In, Assigned",Broadnax,10,987,"Brady, Ares","Duran, Angel",,Intern Pool,Tax,Manager
4/15/2024,"Cole, Feest and Turner",Individual Income Tax,"Duran, Angel",Reviewer,3/22/2024,"In, Assigned",Broadnax,6,987,"Brady, Ares","Duran, Angel",,Intern Pool,Tax,Partner
4/15/2024,"Cole, Feest and Turner",Individual Income Tax,"Novak, Shelby",Preparer,3/22/2024,"In, Assigned",Broadnax,12,987,"Brady, Ares","Duran, Angel",,Intern Pool,Tax,Associate
4/15/2024,"Beahan, Ebert and Schimmel",Individual Income Tax,"Gutierrez, Joyce",Preparer,3/22/2024,Completed / NA,Metzger,6,00C7115,"Cummings, Sara","Cummings, Sara",,Intern Pool,Tax,Associate
4/15/2024,"Beahan, Ebert and Schimmel",Individual Income Tax,"Cummings, Sara",Reviewer,3/22/2024,Completed / NA,Metzger,3,00C7115,"Cummings, Sara","Cummings, Sara",,Intern Pool,Tax,Partner
4/15/2024,Vandervort LLC,Individual Income Tax,"Paul, Cayson",Preparer,3/22/2024,Prep Complete,Borkowski,7,52262,"Middleton, Cecilia","Middleton, Cecilia",,Staff Pool,Tax,Associate
4/15/2024,Vandervort LLC,Individual Income Tax,"Middleton, Cecilia",Reviewer,3/22/2024,Prep Complete,Borkowski,3,52262,"Middleton, Cecilia","Middleton, Cecilia",,Staff Pool,Tax,Supervisor
6/15/2024,Schumm LLC,Individual Income Tax,"Pacheco, Louisa",Preparer,3/22/2024,Waiting For Final Info,Gatewood,1,52447,"Gardner, Asa","Gardner, Asa",Mirjana Miskulin,Intern Pool,Tax,Associate
6/15/2024,Schumm LLC,Individual Income Tax,"Gardner, Asa",Reviewer,3/22/2024,Waiting For Final Info,Gatewood,1,52447,"Gardner, Asa","Gardner, Asa",Mirjana Miskulin,Intern Pool,Tax,Manager
4/15/2024,Wisoky Inc,Trust (CRT) Income Tax,"Paul, Cayson",Preparer,3/22/2024,Prep Complete,Murawski,6,52988,"Hubbard, Braden","Hubbard, Braden",,Staff Pool,Tax,Intern
4/15/2024,Wisoky Inc,Trust (CRT) Income Tax,"Middleton, Cecilia",Reviewer,3/22/2024,Prep Complete,Murawski,2,52988,"Hubbard, Braden","Hubbard, Braden",,Staff Pool,Tax,Manager
4/15/2024,Wisoky Inc,Trust (CRT) Income Tax,"Hubbard, Braden",Reviewer,3/22/2024,Prep Complete,Murawski,1,52988,"Hubbard, Braden","Hubbard, Braden",,Staff Pool,Tax,Partner
4/15/2024,Stracke - Kerluke,Individual Income Tax,"Rush, Luca",Preparer,3/22/2024,"In, Assigned",Broadnax,3,53005,"Brady, Ares","Duran, Angel",,Intern Pool,Tax,Intern
4/15/2024,Stracke - Kerluke,Individual Income Tax,"Love, Harrison",Reviewer,3/22/2024,"In, Assigned",Broadnax,1,53005,"Brady, Ares","Duran, Angel",,Intern Pool,Tax,Partner
4/15/2024,Stracke - Kerluke,Individual Income Tax,"Brady, Ares",Reviewer,3/22/2024,"In, Assigned",Broadnax,2,53005,"Brady, Ares","Duran, Angel",,Intern Pool,Tax,Supervisor
4/15/2024,Stracke - Kerluke,Individual Income Tax,"Duran, Angel",Reviewer,3/22/2024,"In, Assigned",Broadnax,1,53005,"Brady, Ares","Duran, Angel",,Intern Pool,Tax,Partner
4/15/2024,"Rippin, Konopelski and Ziemann",Partnership Income Tax,"Moran, London",Preparer,3/22/2024,"In, Assigned",Newell,2,53322,"Gardner, Asa","Gardner, Asa",SMLLC (2020 CA Form 568),Intern Pool,,Intern
4/15/2024,"Rippin, Konopelski and Ziemann",Partnership Income Tax,"Olsen, Murphy",Reviewer,3/22/2024,"In, Assigned",Newell,1,53322,"Gardner, Asa","Gardner, Asa",SMLLC (2020 CA Form 568),Intern Pool,,Supervisor
4/15/2024,"Rippin, Konopelski and Ziemann",Partnership Income Tax,"Love, Harrison",Reviewer,3/22/2024,"In, Assigned",Newell,1,53322,"Gardner, Asa","Gardner, Asa",SMLLC (2020 CA Form 568),Intern Pool,,Partner
4/15/2024,"Rippin, Konopelski and Ziemann",Partnership Income Tax,"Gardner, Asa",Reviewer,3/22/2024,"In, Assigned",Newell,1,53322,"Gardner, Asa","Gardner, Asa",SMLLC (2020 CA Form 568),Intern Pool,,Partner
4/15/2024,"Rowe, Toy and Barton",Individual Income Tax,"Newman, Owen",Preparer,3/22/2024,"In, Assigned",Devera,8,53627,"Middleton, Cecilia","Middleton, Cecilia",,No Selection,,Intern
4/15/2024,"Rowe, Toy and Barton",Individual Income Tax,"Middleton, Cecilia",Reviewer,3/22/2024,"In, Assigned",Devera,5,53627,"Middleton, Cecilia","Middleton, Cecilia",,No Selection,,Manager
4/15/2024,Keeling - Bernhard,Individual Income Tax,"Newman, Owen",Preparer,3/22/2024,"In, Assigned",Devera,2,53629,"Middleton, Cecilia","Middleton, Cecilia",,No Selection,,Intern
4/15/2024,Keeling - Bernhard,Individual Income Tax,"Middleton, Cecilia",Reviewer,3/22/2024,"In, Assigned",Devera,2,53629,"Middleton, Cecilia","Middleton, Cecilia",,No Selection,,Manager
4/15/2024,Franecki - Wuckert,Individual Income Tax,"Newman, Owen",Preparer,3/22/2024,"In, Assigned",Devera,2,53630,"Middleton, Cecilia","Middleton, Cecilia",,No Selection,,Intern
4/15/2024,Franecki - Wuckert,Individual Income Tax,"Middleton, Cecilia",Reviewer,3/22/2024,"In, Assigned",Devera,2,53630,"Middleton, Cecilia","Middleton, Cecilia",,No Selection,,Manager
4/15/2024,Schumm Inc,Individual Income Tax,"Howe, Jerry",Tech Reviewer,3/21/2024,Prep Complete,Hitchcock,4,909,"Duran, Angel","Howe, Jerry",,Staff Pool,,Manager
4/15/2024,Schumm Inc,Individual Income Tax,"Schwartz, Amari",Preparer,3/21/2024,Prep Complete,Hitchcock,12,909,"Duran, Angel","Howe, Jerry",,Staff Pool,,Associate
4/15/2024,Schumm Inc,Individual Income Tax,"Duran, Angel",Reviewer,3/21/2024,Prep Complete,Hitchcock,1,909,"Duran, Angel","Howe, Jerry",,Staff Pool,,Partner
4/15/2024,Schumm Inc,Individual Income Tax,"Morrow, Gordon",Reviewer,3/21/2024,Prep Complete,Hitchcock,12,909,"Duran, Angel","Howe, Jerry",,Staff Pool,,No Selection
9/30/2024,Effertz - Bergstrom,Trust Income Tax,"Moran, London",Preparer,3/21/2024,"In, Assigned",Toomey,2,50075,"Gray, Kori","Gray, Kori",,Intern Pool,Tax,Intern
9/30/2024,Effertz - Bergstrom,Trust Income Tax,"Howe, Jerry",Reviewer,3/21/2024,"In, Assigned",Toomey,0.5,50075,"Gray, Kori","Gray, Kori",,Intern Pool,Tax,Supervisor
9/30/2024,Effertz - Bergstrom,Trust Income Tax,"Gray, Kori",Reviewer,3/21/2024,"In, Assigned",Toomey,0.5,50075,"Gray, Kori","Gray, Kori",,Intern Pool,Tax,Manager
9/30/2024,"Huels, Hagenes and Rowe",Trust Income Tax,"Moran, London",Preparer,3/21/2024,"In, Assigned",Toomey,2,50330,"Gray, Kori","Gray, Kori",,Intern Pool,Tax,Intern
9/30/2024,"Huels, Hagenes and Rowe",Trust Income Tax,"Howe, Jerry",Reviewer,3/21/2024,"In, Assigned",Toomey,0.5,50330,"Gray, Kori","Gray, Kori",,Intern Pool,Tax,Supervisor
9/30/2024,"Huels, Hagenes and Rowe",Trust Income Tax,"Gray, Kori",Reviewer,3/21/2024,"In, Assigned",Toomey,0.5,50330,"Gray, Kori","Gray, Kori",,Intern Pool,Tax,Manager
4/15/2024,Cummerata - Renner,Individual Income Tax,"Duran, Angel",Reviewer,3/21/2024,"In, Assigned",ZZINDIV,4,50361,"Duran, Angel","Duran, Angel",,Intern Pool,Tax,Partner
4/15/2024,Cummerata - Renner,Individual Income Tax,"McIntosh, Cecelia",Preparer,3/21/2024,"In, Assigned",ZZINDIV,6,50361,"Duran, Angel","Duran, Angel",,Intern Pool,Tax,Intern
4/15/2024,"Cruickshank, Stehr and VonRueden",Individual Income Tax,"Cummings, Sara",Reviewer,3/21/2024,"In, Assigned",Ireland,1,51963,"Cummings, Sara","Cummings, Sara",,Intern Pool,Tax,Partner
4/15/2024,"Cruickshank, Stehr and VonRueden",Individual Income Tax,"Leon, Lucca",Preparer,3/21/2024,"In, Assigned",Ireland,2,51963,"Cummings, Sara","Cummings, Sara",,Intern Pool,Tax,Intern
4/15/2024,Pouros Group,Trust Income Tax,"Rush, Luca",Preparer,3/21/2024,"In, Assigned",Gagliano,2,52354,"Gray, Kori","Gray, Kori",,Intern Pool,Tax,Intern
4/15/2024,Pouros Group,Trust Income Tax,"Gray, Kori",Reviewer,3/21/2024,"In, Assigned",Gagliano,1,52354,"Gray, Kori","Gray, Kori",,Intern Pool,Tax,Partner
4/15/2024,Kshlerin - Hauck,Corporate Income Tax,"Olsen, Murphy",Reviewer,3/21/2024,"In, Assigned",Beers,1,52575,"Villanueva, Loretta","Villanueva, Loretta",,Staff Pool,Tax,Supervisor
4/15/2024,Kshlerin - Hauck,Corporate Income Tax,"Duran, Angel",Reviewer,3/21/2024,"In, Assigned",Beers,1,52575,"Villanueva, Loretta","Villanueva, Loretta",,Staff Pool,Tax,Partner
4/15/2024,Kshlerin - Hauck,Corporate Income Tax,"Novak, Shelby",Preparer,3/21/2024,"In, Assigned",Beers,3,52575,"Villanueva, Loretta","Villanueva, Loretta",,Staff Pool,Tax,No Selection
4/15/2024,Kshlerin - Hauck,Corporate Income Tax,"Villanueva, Loretta",Reviewer,3/21/2024,"In, Assigned",Beers,1,52575,"Villanueva, Loretta","Villanueva, Loretta",,Staff Pool,Tax,Manager
4/15/2024,Stark Group,Individual Income Tax,"Cummings, Sara",Reviewer,3/21/2024,"In, Assigned",Crowl,2,52688,"Cummings, Sara","Cummings, Sara",,Intern Pool,Tax,Partner
4/15/2024,Stark Group,Individual Income Tax,"Leon, Lucca",Preparer,3/21/2024,"In, Assigned",Crowl,4,52688,"Cummings, Sara","Cummings, Sara",,Intern Pool,Tax,Intern
9/15/2024,Langworth - Herzog,Partnership Income Tax,"Olsen, Murphy",Reviewer,3/21/2024,Prep Complete,Billy,4,52875,"Gray, Kori","Gray, Kori",,Staff Pool,Tax,Senior
9/15/2024,Langworth - Herzog,Partnership Income Tax,"Gray, Kori",Reviewer,3/21/2024,Prep Complete,Billy,1,52875,"Gray, Kori","Gray, Kori",,Staff Pool,Tax,Partner
9/15/2024,Langworth - Herzog,Partnership Income Tax,"McCall, Nelson",Preparer,3/21/2024,Prep Complete,Billy,7,52875,"Gray, Kori","Gray, Kori",,Staff Pool,Tax,Associate
4/15/2024,Davis - Hudson,Individual Income Tax,"Montoya, Eloise",Preparer,3/21/2024,In Prep,ZZINDIV,6,53274,"Hubbard, Braden","Hubbard, Braden",,Intern Pool,,Associate
4/15/2024,Davis - Hudson,Individual Income Tax,"Hubbard, Braden",Reviewer,3/21/2024,In Prep,ZZINDIV,3,53274,"Hubbard, Braden","Hubbard, Braden",,Intern Pool,,Partner
4/15/2024,Yost - Lebsack,Individual Income Tax,"Gutierrez, Joyce",Preparer,3/21/2024,Prep Complete,Goldman,4,53631,"Middleton, Cecilia","Middleton, Cecilia",,No Selection,,Associate
4/15/2024,Yost - Lebsack,Individual Income Tax,"Middleton, Cecilia",Reviewer,3/21/2024,Prep Complete,Goldman,4,53631,"Middleton, Cecilia","Middleton, Cecilia",,No Selection,,Manager
4/15/2024,Ziemann Inc,Partnership Income Tax,"Gutierrez, Joyce",Preparer,3/21/2024,Prep Complete,Goldman,1,53632,"Middleton, Cecilia","Middleton, Cecilia",SMLLC,No Selection,,Associate
4/15/2024,Ziemann Inc,Partnership Income Tax,"Middleton, Cecilia",Reviewer,3/21/2024,Prep Complete,Goldman,1,53632,"Middleton, Cecilia","Middleton, Cecilia",SMLLC,No Selection,,Manager
4/15/2024,"Terry, Abbott and Mitchell",Trust Income Tax,"Gutierrez, Joyce",Preparer,3/21/2024,Prep Complete,Farley,2,53718,"Middleton, Cecilia","Middleton, Cecilia",,No Selection,,Associate
4/15/2024,"Terry, Abbott and Mitchell",Trust Income Tax,"Middleton, Cecilia",Reviewer,3/21/2024,Prep Complete,Farley,2,53718,"Middleton, Cecilia","Middleton, Cecilia",,No Selection,,Manager
4/15/2024,"Metz, Wiegand and Schuppe",Individual Income Tax,"Gutierrez, Joyce",Preparer,3/21/2024,Prep Complete,Featherstone,2,53719,"Middleton, Cecilia","Middleton, Cecilia",,No Selection,,Associate
4/15/2024,"Metz, Wiegand and Schuppe",Individual Income Tax,"Middleton, Cecilia",Reviewer,3/21/2024,Prep Complete,Featherstone,2,53719,"Middleton, Cecilia","Middleton, Cecilia",,No Selection,,Manager
4/15/2024,Ward - Breitenberg,Individual Income Tax,"Cummings, Sara",Reviewer,3/20/2024,Waiting For Final Info,ZZINDIV,3,1105,"Cummings, Sara","Cummings, Sara",,Staff Pool,Tax,Partner
4/15/2024,Ward - Breitenberg,Individual Income Tax,"Paul, Cayson",Preparer,3/20/2024,Waiting For Final Info,ZZINDIV,8,1105,"Cummings, Sara","Cummings, Sara",,Staff Pool,Tax,Intern
4/15/2024,Morar and Sons,Trust Income Tax,"Gutierrez, Joyce",Preparer,3/20/2024,Prep Complete,Merrick,3,1728,"Cummings, Sara","Cummings, Sara",,Staff Pool,Tax,Associate
4/15/2024,Morar and Sons,Trust Income Tax,"Cummings, Sara",Reviewer,3/20/2024,Prep Complete,Merrick,1,1728,"Cummings, Sara","Cummings, Sara",,Staff Pool,Tax,Partner
4/15/2024,Moen and Sons,Corporate Income Tax,"Cummings, Sara",Reviewer,3/20/2024,On Hold,Baumgardner,8,00C1151,"Cummings, Sara","Cummings, Sara",,,Tax,Partner
4/15/2024,Moen and Sons,Corporate Income Tax,"Olsen, Murphy",Reviewer,3/20/2024,On Hold,Baumgardner,15,00C1151,"Cummings, Sara","Cummings, Sara",,,Tax,Senior
4/15/2024,Moen and Sons,Corporate Income Tax,"Small, Diego",Preparer,3/20/2024,On Hold,Baumgardner,25,00C1151,"Cummings, Sara","Cummings, Sara",,,Tax,Associate
4/15/2024,Moen and Sons,Foreign Accounts Form 114,"Cummings, Sara",Reviewer,3/20/2024,On Hold,Baumgardner,1,00C1151,"Cummings, Sara","Cummings, Sara",,Staff Pool,Tax,Partner
4/15/2024,Moen and Sons,Foreign Accounts Form 114,"Olsen, Murphy",Reviewer,3/20/2024,On Hold,Baumgardner,1,00C1151,"Cummings, Sara","Cummings, Sara",,Staff Pool,Tax,Senior
4/15/2024,Moen and Sons,Foreign Accounts Form 114,"Small, Diego",Preparer,3/20/2024,On Hold,Baumgardner,1,00C1151,"Cummings, Sara","Cummings, Sara",,Staff Pool,Tax,Associate
4/15/2024,Paucek - Dibbert,Individual Income Tax,"Cummings, Sara",Reviewer,3/20/2024,Waiting For Final Info,Baird,3,00C8520,"Cummings, Sara","Cummings, Sara",,Intern Pool,Tax,Partner
4/15/2024,Paucek - Dibbert,Individual Income Tax,"McIntosh, Cecelia",Preparer,3/20/2024,Waiting For Final Info,Baird,6,00C8520,"Cummings, Sara","Cummings, Sara",,Intern Pool,Tax,Intern
4/15/2024,"Gleason, Pfeffer and Little",Individual Income Tax,"Leon, Lucca",Preparer,3/20/2024,"In, Assigned",Dutton,5,50431,"Hubbard, Braden","Hubbard, Braden",,Intern Pool,Tax,Intern
4/15/2024,"Gleason, Pfeffer and Little",Individual Income Tax,"Hubbard, Braden",Reviewer,3/20/2024,"In, Assigned",Dutton,4,50431,"Hubbard, Braden","Hubbard, Braden",,Intern Pool,Tax,Partner
4/15/2024,Glover and Sons,Trust Income Tax,"Gray, Kori",Reviewer,3/20/2024,Prep Complete,Jordan,1,51412,"Gray, Kori","Gray, Kori",,Staff Pool,Tax,Partner
4/15/2024,Glover and Sons,Trust Income Tax,"Schwartz, Amari",Preparer,3/20/2024,Prep Complete,Jordan,10,51412,"Gray, Kori","Gray, Kori",,Staff Pool,Tax,Associate
4/15/2024,"Becker, Sporer and Bergnaum",Trust Income Tax,No Selection,Reviewer,3/20/2024,Prep Complete,Jordan,4,51413,"Gray, Kori","Gray, Kori",,Staff Pool,Tax,Supervisor
4/15/2024,"Becker, Sporer and Bergnaum",Trust Income Tax,"Gray, Kori",Reviewer,3/20/2024,Prep Complete,Jordan,1,51413,"Gray, Kori","Gray, Kori",,Staff Pool,Tax,Manager
4/15/2024,"Becker, Sporer and Bergnaum",Trust Income Tax,"Schwartz, Amari",Preparer,3/20/2024,Prep Complete,Jordan,8,51413,"Gray, Kori","Gray, Kori",,Staff Pool,Tax,Associate
4/15/2024,Lueilwitz Inc,Trust Income Tax,"Gray, Kori",Reviewer,3/20/2024,Prep Complete,Jordan,2,51414,"Gray, Kori","Gray, Kori",,Staff Pool,Tax,Manager
4/15/2024,Lueilwitz Inc,Trust Income Tax,"Schwartz, Amari",Preparer,3/20/2024,Prep Complete,Jordan,10,51414,"Gray, Kori","Gray, Kori",,Staff Pool,Tax,Associate
9/15/2024,Smitham LLC,Partnership Income Tax,"Paul, Cayson",Preparer,3/20/2024,On Hold,Percival,6,51706,"Duran, Angel","Duran, Angel",,Staff Pool,Tax,Intern
9/15/2024,Smitham LLC,Partnership Income Tax,"Duran, Angel",Reviewer,3/20/2024,On Hold,Percival,2,51706,"Duran, Angel","Duran, Angel",,Staff Pool,Tax,Senior
9/15/2024,Smitham LLC,Partnership Income Tax,"Middleton, Cecilia",Reviewer,3/20/2024,On Hold,Percival,3,51706,"Duran, Angel","Duran, Angel",,Staff Pool,Tax,Senior
9/15/2024,Corwin Group,Partnership Income Tax,"Olsen, Murphy",Reviewer,3/20/2024,"In, Assigned",Percival,15,51708,"Duran, Angel","Duran, Angel",,,Tax,Supervisor
9/15/2024,Corwin Group,Partnership Income Tax,"Small, Diego",Preparer,3/20/2024,"In, Assigned",Percival,20,51708,"Duran, Angel","Duran, Angel",,,Tax,Associate
9/15/2024,Corwin Group,Partnership Income Tax,"Duran, Angel",Reviewer,3/20/2024,"In, Assigned",Percival,12,51708,"Duran, Angel","Duran, Angel",,,Tax,Senior
9/15/2024,Corwin Group,Partnership Income Tax,"Middleton, Cecilia",Reviewer,3/20/2024,"In, Assigned",Percival,5,51708,"Duran, Angel","Duran, Angel",,,Tax,Manager
4/15/2024,Brekke and Sons,Individual Income Tax,"Montoya, Eloise",Preparer,3/20/2024,For Partner Review,Kimble,8,52526,"Hubbard, Braden","Hubbard, Braden",,Staff Pool,Tax,Intern
4/15/2024,Brekke and Sons,Individual Income Tax,"Brady, Ares",Reviewer,3/20/2024,For Partner Review,Kimble,6,52526,"Hubbard, Braden","Hubbard, Braden",,Staff Pool,Tax,Manager
4/15/2024,Brekke and Sons,Individual Income Tax,"Hubbard, Braden",Reviewer,3/20/2024,For Partner Review,Kimble,2,52526,"Hubbard, Braden","Hubbard, Braden",,Staff Pool,Tax,Partner
10/15/2024,Reichel Inc,Individual Income Tax,"Olsen, Murphy",Reviewer,3/20/2024,Prep Complete,Backus,8,52723,"Duran, Angel","Duran, Angel",,Staff Pool,Tax,Senior
10/15/2024,Reichel Inc,Individual Income Tax,"Paul, Cayson",Preparer,3/20/2024,Prep Complete,Backus,10,52723,"Duran, Angel","Duran, Angel",,Staff Pool,Tax,Associate
10/15/2024,Reichel Inc,Individual Income Tax,"Duran, Angel",Reviewer,3/20/2024,Prep Complete,Backus,6,52723,"Duran, Angel","Duran, Angel",,Staff Pool,Tax,Partner
4/15/2024,"Bogan, Feeney and Bradtke",Individual Income Tax,"Love, Harrison",Reviewer,3/20/2024,Prep Complete,Swift,2,52965,"Gardner, Asa","Gardner, Asa",,Intern Pool,Tax,Partner
4/15/2024,"Bogan, Feeney and Bradtke",Individual Income Tax,"Montoya, Eloise",Preparer,3/20/2024,Prep Complete,Swift,6,52965,"Gardner, Asa","Gardner, Asa",,Intern Pool,Tax,Associate
4/15/2024,"Bogan, Feeney and Bradtke",Individual Income Tax,"Gardner, Asa",Reviewer,3/20/2024,Prep Complete,Swift,2,52965,"Gardner, Asa","Gardner, Asa",,Intern Pool,Tax,Partner
4/15/2024,"Bode, Raynor and Bradtke",Individual Income Tax,"Dennis, Nicholas",Reviewer,3/20/2024,"In, Assigned",Armijo,6,53198,"Middleton, Cecilia","Middleton, Cecilia",,Staff Pool,,No Selection
